127.0.0.1 - - [13/Sep/2021:13:51:22 +0900] "GET / HTTP/1.1" 200 63830
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /emp/list HTTP/1.1" 200 49271
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/plugins/summernote/summernote-bs4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/dist/img/user8-128x128.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/dist/img/user1-128x128.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/dist/img/user3-128x128.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/dist/css/adminlte.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/dist/img/AdminLTELogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /resources/adminlte/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:44 +0900] "GET /favicon.ico HTTP/1.1" 404 39439
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:49 +0900] "GET /emp/insert HTTP/1.1" 200 42847
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:53 +0900] "GET /repSer/list HTTP/1.1" 404 39439
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:53 +0900] "GET /resources/images/404.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:53 +0900] "GET /car/list HTTP/1.1" 200 43276
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:55 +0900] "GET /freeboard/list HTTP/1.1" 200 46743
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:58 +0900] "GET /freeboard/insert HTTP/1.1" 200 44856
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:58 +0900] "GET /resources/ckeditor/config.js?t=L4KA HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:58 +0900] "GET /resources/ckeditor/skins/moono-lisa/editor.css?t=L4KA HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:58 +0900] "GET /resources/ckeditor/lang/ko.js?t=L4KA HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:58 +0900] "GET /resources/ckeditor/styles.js?t=L4KA HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:51:58 +0900] "GET /resources/ckeditor/plugins/scayt/dialogs/dialog.css?t=L4KA HTTP/1.1" 304 -
