127.0.0.1 - - [11/Sep/2021:12:39:48 +0900] "GET / HTTP/1.1" 200 63830
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:04 +0900] "GET /emp/list HTTP/1.1" 200 49271
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:04 +0900] "GET /favicon.ico HTTP/1.1" 404 39439
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:09 +0900] "GET /emp/detail HTTP/1.1" 404 39439
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:40 +0900] "POST /emp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:40 +0900] "GET /emp/list HTTP/1.1" 200 49801
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:40 +0900] "GET /resources/images/logout.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:42 +0900] "GET /emp/list HTTP/1.1" 200 49801
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:43 +0900] "GET /emp/detail/202108117 HTTP/1.1" 200 45231
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:43 +0900] "GET /resources/js/ddit.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:52 +0900] "GET /cus/list HTTP/1.1" 200 47748
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /cus/detail?cusNum=7 HTTP/1.1" 200 49339
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources//upload/2021/08/19/b94c4200-1732-430a-94d1-12118b392a29_%EB%A0%89%EB%8F%8C.jpg HTTP/1.1" 404 39388
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/config.js?t=L4KA HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/lang/ko.js?t=L4KA HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/skins/moono-lisa/editor.css?t=L4KA HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/styles.js?t=L4KA HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/plugins/scayt/dialogs/dialog.css?t=L4KA HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/plugins/dialog/styles/dialog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/plugins/scayt/skins/moono-lisa/scayt.css?t=L4KA HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/plugins/tableselection/styles/tableselection.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/plugins/imagebase/styles/imagebase.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/plugins/balloontoolbar/skins/moono-lisa/balloontoolbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/plugins/easyimage/styles/easyimage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/plugins/balloonpanel/skins/moono-lisa/balloonpanel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/plugins/balloontoolbar/skins/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:12:40:53 +0900] "GET /resources/ckeditor/contents.css?t=L4KA HTTP/1.1" 304 -
